,Country,City,Date,Max Temp,Cloudiness,Humidity,Lat,Lng,Wind Speed
0,ZA,Port Elizabeth,1651623820,65.32,0,93,-33.918,25.5701,10.36
1,UZ,Yangi Marg`ilon,1651623847,68.72,100,60,40.4272,71.7189,4.61
2,RU,Tiksi,1651623790,15.66,52,87,71.6872,128.8694,3.74
3,AO,Cabinda,1651623847,78.19,84,91,-5.55,12.2,5.35
4,MU,Quatre Cocos,1651623848,75.31,39,81,-20.2078,57.7625,10.29
5,CL,Constitución,1651623849,56.59,10,76,-35.3333,-72.4167,8.52
6,AR,Ushuaia,1651623752,38.86,20,81,-54.8,-68.3,24.16
7,BR,Monte Alegre de Sergipe,1651623849,72.41,49,89,-10.0272,-37.5622,7.23
8,CK,Avarua,1651623773,80.65,75,89,-21.2078,-159.775,5.75
9,ZA,East London,1651623640,66.56,95,52,-33.0153,27.9116,1.99
10,CA,Tuktoyaktuk,1651623850,24.8,100,93,69.4541,-133.0374,13.8
11,SB,Gizo Government Station,1651623788,84.58,42,68,-8.103,156.8419,6.64
12,BR,São Lourenço,1651623851,62.04,4,80,-22.1164,-45.0544,2.39
13,MY,Singkang,1651623852,77.95,99,90,2.1006,102.7994,0.98
14,CA,Clyde River,1651623853,8.83,0,78,70.4692,-68.5914,10.36
15,VG,Road Town,1651623853,78.89,40,83,18.4167,-64.6167,9.22
16,US,Kahului,1651623561,78.82,40,72,20.8947,-156.47,20.71
17,RU,Dikson,1651623854,-0.17,54,97,73.5069,80.5464,4.72
18,US,Saint Anthony,1651623855,58.24,0,42,45.0205,-93.218,11.5
19,BR,Itarema,1651623855,78.35,93,91,-2.9248,-39.9167,9.98
20,RU,Nikolskoye,1651623856,37.29,52,74,59.7035,30.7861,7.45
21,US,Bethel,1651623856,53.69,100,82,41.3712,-73.414,5.75
22,US,Bud,1651623857,67.95,56,82,39.447,-86.1758,13.94
23,MY,George Town,1651623655,80.53,20,93,5.4112,100.3354,3.44
24,BR,Santa Vitória do Palmar,1651623858,57.09,60,77,-33.5189,-53.3681,6.4
25,CA,Torbay,1651623858,42.28,75,88,47.6666,-52.7314,17.27
26,CL,Punta Arenas,1651623753,39.31,100,87,-53.15,-70.9167,32.21
